percentile,latency_ns
0.0000,1875
1.0000,1916
2.0000,1917
3.0000,1958
4.0000,1958
5.0000,1958
6.0000,1958
7.0000,1958
8.0000,1958
9.0000,1958
10.0000,1959
11.0000,1959
12.0000,1959
13.0000,1959
14.0000,2000
15.0000,2000
16.0000,2000
17.0000,2000
18.0000,2000
19.0000,2000
20.0000,2000
21.0000,2000
22.0000,2000
23.0000,2000
24.0000,2000
25.0000,2000
26.0000,2000
27.0000,2000
28.0000,2000
29.0000,2000
30.0000,2000
31.0000,2041
32.0000,2041
33.0000,2041
34.0000,2041
35.0000,2041
36.0000,2042
37.0000,2042
38.0000,2042
39.0000,2042
40.0000,2042
41.0000,2042
42.0000,2042
43.0000,2042
44.0000,2042
45.0000,2042
46.0000,2083
47.0000,2083
48.0000,2083
49.0000,2083
50.0000,2083
51.0000,2083
52.0000,2083
53.0000,2083
54.0000,2083
55.0000,2085
56.0000,2085
57.0000,2085
58.0000,2085
59.0000,2125
60.0000,2125
61.0000,2125
62.0000,2125
63.0000,2125
64.0000,2125
65.0000,2125
66.0000,2125
67.0000,2125
68.0000,2125
69.0000,2125
70.0000,2125
71.0000,2125
72.0000,2167
73.0000,2167
74.0000,2167
75.0000,2167
76.0000,2167
77.0000,2167
78.0000,2167
79.0000,2167
80.0000,2167
81.0000,2167
82.0000,2167
83.0000,2209
84.0000,2209
85.0000,2209
86.0000,2209
87.0000,2209
88.0000,2209
89.0000,2209
90.0000,2209
90.0000,2209
90.1000,2209
90.2000,2209
90.3000,2209
90.4000,2209
90.5000,2209
90.6000,2209
90.7000,2251
90.8000,2251
90.9000,2251
91.0000,2251
91.1000,2251
91.2000,2251
91.3000,2251
91.4000,2251
91.5000,2251
91.6000,2251
91.7000,2251
91.8000,2251
91.9000,2251
92.0000,2251
92.1000,2251
92.2000,2251
92.3000,2251
92.4000,2251
92.5000,2251
92.6000,2251
92.7000,2251
92.8000,2251
92.9000,2251
93.0000,2251
93.1000,2251
93.2000,2251
93.3000,2251
93.4000,2251
93.5000,2251
93.6000,2251
93.7000,2251
93.8000,2251
93.9000,2251
94.0000,2251
94.1000,2251
94.2000,2251
94.3000,2251
94.4000,2251
94.5000,2251
94.6000,2251
94.7000,2251
94.8000,2251
94.9000,2291
95.0000,2291
95.1000,2291
95.2000,2291
95.3000,2291
95.4000,2291
95.5000,2291
95.6000,2293
95.7000,2293
95.8000,2293
95.9000,2293
96.0000,2293
96.1000,2293
96.2000,2293
96.3000,2293
96.4000,2293
96.5000,2293
96.6000,2293
96.7000,2293
96.8000,2333
96.9000,2333
97.0000,2333
97.1000,2333
97.2000,2333
97.3000,2335
