percentile,latency_ns
0.0000,74624
1.0000,75391
2.0000,75455
3.0000,75519
4.0000,75583
5.0000,75647
6.0000,75647
7.0000,75711
8.0000,75711
9.0000,75711
10.0000,75775
11.0000,75839
12.0000,75839
13.0000,75839
14.0000,75839
15.0000,75903
16.0000,75903
17.0000,75967
18.0000,75967
19.0000,75967
20.0000,75967
21.0000,75967
22.0000,76031
23.0000,76031
24.0000,76031
25.0000,76095
26.0000,76095
27.0000,76095
28.0000,76095
29.0000,76095
30.0000,76159
31.0000,76159
32.0000,76223
33.0000,76223
34.0000,76223
35.0000,76223
36.0000,76223
37.0000,76223
38.0000,76287
39.0000,76287
40.0000,76351
41.0000,76351
42.0000,76351
43.0000,76351
44.0000,76351
45.0000,76415
46.0000,76415
47.0000,76479
48.0000,76479
49.0000,76479
50.0000,76543
51.0000,76543
52.0000,76543
53.0000,76607
54.0000,76671
55.0000,76671
56.0000,76735
57.0000,76799
58.0000,76927
59.0000,77183
60.0000,77631
61.0000,77887
62.0000,78079
63.0000,78271
64.0000,78527
65.0000,78783
66.0000,79103
67.0000,79423
68.0000,79999
69.0000,80767
70.0000,81087
71.0000,81215
72.0000,81343
73.0000,81407
74.0000,81471
75.0000,81535
76.0000,81599
77.0000,81663
78.0000,81727
79.0000,81791
80.0000,81855
81.0000,81919
82.0000,82047
83.0000,82111
84.0000,82303
85.0000,82623
86.0000,83327
87.0000,84223
88.0000,84799
89.0000,85183
90.0000,85631
90.0000,85631
90.1000,85631
90.2000,85695
90.3000,85759
90.4000,85759
90.5000,85823
90.6000,85887
90.7000,85887
90.8000,86015
90.9000,86015
91.0000,86079
91.1000,86143
91.2000,86143
91.3000,86207
91.4000,86271
91.5000,86271
91.6000,86335
91.7000,86335
91.8000,86399
91.9000,86463
92.0000,86527
92.1000,86591
92.2000,86591
92.3000,86655
92.4000,86719
92.5000,86783
92.6000,86847
92.7000,86911
92.8000,86975
92.9000,87103
93.0000,87167
93.1000,87231
93.2000,87295
93.3000,87423
93.4000,87551
93.5000,87679
93.6000,87679
93.7000,87807
93.8000,87871
93.9000,87999
94.0000,88063
94.1000,88127
94.2000,88255
94.3000,88255
94.4000,88383
94.5000,88447
94.6000,88511
94.7000,88639
94.8000,88767
94.9000,88831
95.0000,88895
95.1000,89023
95.2000,89087
95.3000,89215
95.4000,89407
95.5000,89471
95.6000,89599
95.7000,89727
95.8000,89855
95.9000,89983
96.0000,90111
96.1000,90239
96.2000,90431
96.3000,90559
96.4000,90751
96.5000,90943
96.6000,91135
96.7000,91327
96.8000,91519
96.9000,91711
97.0000,91839
97.1000,92095
97.2000,92223
97.3000,92415
97.4000,92607
97.5000,92799
97.6000,92991
97.7000,93247
97.8000,93503
97.9000,93823
98.0000,94079
98.1000,94463
98.2000,94719
98.3000,95103
98.4000,95423
98.5000,95807
98.6000,96063
98.7000,96383
98.8000,96767
98.9000,97279
99.0000,97727
99.0000,97727
99.0100,97791
99.0200,97791
99.0300,97855
99.0400,97919
99.0500,97919
99.0600,97983
99.0700,98047
99.0800,98047
99.0900,98047
99.1000,98111
99.1100,98175
99.1200,98175
99.1300,98175
99.1400,98239
99.1500,98239
99.1600,98303
99.1700,98303
99.1800,98303
99.1900,98431
99.2000,98431
99.2100,98495
99.2200,98559
99.2300,98559
99.2400,98687
99.2500,98751
99.2600,98815
99.2700,98879
99.2800,98943
99.2900,99071
99.3000,99135
99.3100,99135
99.3200,99135
99.3300,99199
99.3400,99263
99.3500,99391
99.3600,99391
99.3700,99455
99.3800,99647
99.3900,99647
99.4000,99775
99.4100,99967
99.4200,100031
99.4300,100095
99.4400,100223
99.4500,100287
99.4600,100351
99.4700,100415
99.4800,100543
99.4900,100671
99.5000,100671
99.5100,100799
99.5200,100863
99.5300,101055
99.5400,101311
99.5500,101503
99.5600,101503
99.5700,101695
99.5800,101823
99.5900,101887
99.6000,102079
99.6100,102143
99.6200,102335
99.6300,102463
99.6400,102655
99.6500,102783
99.6600,102975
99.6700,103167
99.6800,103551
99.6900,103807
99.7000,103935
99.7100,104511
99.7200,104767
99.7300,105023
99.7400,105279
99.7500,105663
99.7600,106047
99.7700,106943
99.7800,107455
99.7900,109055
99.8000,110463
99.8100,112127
99.8200,113919
99.8300,114431
99.8400,116991
99.8500,120703
99.8600,125759
99.8700,130431
99.8800,142335
99.8900,151551
99.9000,157183
99.9000,157183
99.9010,157183
99.9020,157183
99.9030,163455
99.9040,163455
99.9050,164095
99.9060,164095
99.9070,164479
99.9080,164479
99.9090,165503
99.9100,165503
99.9110,166143
99.9120,166143
99.9130,167679
99.9140,167679
99.9150,168959
99.9160,168959
99.9170,169983
99.9180,169983
99.9190,173567
99.9200,173567
99.9210,174335
99.9220,174335
99.9230,176127
99.9240,176127
99.9250,177663
99.9260,177663
99.9270,179839
99.9280,179839
99.9290,180863
99.9300,181631
99.9310,181631
99.9320,181631
99.9330,185727
99.9340,185727
99.9350,186623
99.9360,186623
99.9370,188287
99.9380,188287
99.9390,193279
99.9400,193279
99.9410,203391
99.9420,203391
99.9430,203519
99.9440,203519
99.9450,213759
99.9460,213759
99.9470,214143
99.9480,214143
99.9490,218751
99.9500,218751
99.9510,219263
99.9520,219263
99.9530,222207
99.9540,222207
99.9550,228991
99.9560,228991
99.9570,235391
99.9580,235391
99.9590,236799
99.9600,236799
99.9610,236799
99.9620,236799
99.9630,238591
99.9640,238591
99.9650,241535
99.9660,241535
99.9670,243071
99.9680,243071
99.9690,258431
99.9700,258431
99.9710,268799
99.9720,268799
99.9730,276479
99.9740,291071
99.9750,291071
99.9760,291071
99.9770,329471
99.9780,329471
99.9790,344575
99.9800,344575
99.9810,359167
99.9820,359167
99.9830,386047
99.9840,386047
99.9850,541183
99.9860,585215
99.9870,585215
99.9880,585215
99.9890,615935
99.9900,615935
99.9990,1977343
100.0000,1977343
