percentile,latency_ns
0.0000,4624
1.0000,6751
2.0000,7043
3.0000,7083
4.0000,7083
5.0000,7083
6.0000,7083
7.0000,7083
8.0000,7087
9.0000,7087
10.0000,7127
11.0000,7127
12.0000,7127
13.0000,7127
14.0000,7127
15.0000,7127
16.0000,7127
17.0000,7127
18.0000,7127
19.0000,7127
20.0000,7167
21.0000,7167
22.0000,7167
23.0000,7167
24.0000,7167
25.0000,7167
26.0000,7167
27.0000,7167
28.0000,7167
29.0000,7167
30.0000,7167
31.0000,7167
32.0000,7211
33.0000,7211
34.0000,7211
35.0000,7211
36.0000,7211
37.0000,7211
38.0000,7211
39.0000,7211
40.0000,7211
41.0000,7211
42.0000,7211
43.0000,7211
44.0000,7211
45.0000,7211
46.0000,7251
47.0000,7251
48.0000,7251
49.0000,7251
50.0000,7251
51.0000,7251
52.0000,7251
53.0000,7251
54.0000,7251
55.0000,7251
56.0000,7251
57.0000,7251
58.0000,7291
59.0000,7291
60.0000,7291
61.0000,7291
62.0000,7295
63.0000,7295
64.0000,7295
65.0000,7295
66.0000,7295
67.0000,7295
68.0000,7335
69.0000,7335
70.0000,7335
71.0000,7335
72.0000,7335
73.0000,7335
74.0000,7335
75.0000,7375
76.0000,7375
77.0000,7375
78.0000,7419
79.0000,7419
80.0000,7419
81.0000,7459
82.0000,7503
83.0000,7543
84.0000,7667
85.0000,7791
86.0000,7875
87.0000,7919
88.0000,7959
89.0000,8003
90.0000,8043
90.0000,8043
90.1000,8043
90.2000,8043
90.3000,8083
90.4000,8083
90.5000,8083
90.6000,8083
90.7000,8083
90.8000,8083
90.9000,8083
91.0000,8083
91.1000,8087
91.2000,8087
91.3000,8087
91.4000,8127
91.5000,8127
91.6000,8127
91.7000,8127
91.8000,8127
91.9000,8127
92.0000,8127
92.1000,8127
92.2000,8127
92.3000,8127
92.4000,8167
92.5000,8167
92.6000,8167
92.7000,8167
92.8000,8167
92.9000,8167
93.0000,8167
93.1000,8167
93.2000,8215
93.3000,8215
93.4000,8215
93.5000,8215
93.6000,8215
93.7000,8215
93.8000,8255
93.9000,8255
94.0000,8255
94.1000,8255
94.2000,8295
94.3000,8295
94.4000,8295
94.5000,8335
94.6000,8375
94.7000,8375
94.8000,8423
94.9000,8503
95.0000,8543
95.1000,8631
95.2000,8711
95.3000,8751
95.4000,8799
95.5000,8919
95.6000,8959
95.7000,9047
95.8000,9127
95.9000,9167
96.0000,9255
96.1000,9335
96.2000,9423
96.3000,9503
96.4000,9583
96.5000,9631
96.6000,9711
96.7000,9751
96.8000,9799
96.9000,9839
97.0000,9839
97.1000,9879
97.2000,9879
97.3000,9919
97.4000,9919
97.5000,9919
97.6000,9959
97.7000,9959
97.8000,9959
97.9000,10007
98.0000,10007
98.1000,10007
98.2000,10047
98.3000,10047
98.4000,10047
98.5000,10087
98.6000,10087
98.7000,10087
98.8000,10127
98.9000,10127
99.0000,10167
99.0000,10167
99.0100,10167
99.0200,10167
99.0300,10167
99.0400,10167
99.0500,10167
99.0600,10167
99.0700,10167
99.0800,10167
99.0900,10167
99.1000,10167
99.1100,10167
99.1200,10167
99.1300,10167
99.1400,10167
99.1500,10215
99.1600,10215
99.1700,10215
99.1800,10215
99.1900,10215
99.2000,10215
99.2100,10215
99.2200,10215
99.2300,10215
99.2400,10215
99.2500,10215
99.2600,10215
99.2700,10215
99.2800,10215
99.2900,10215
99.3000,10215
99.3100,10215
99.3200,10255
99.3300,10255
99.3400,10255
99.3500,10255
99.3600,10255
99.3700,10255
99.3800,10255
99.3900,10255
99.4000,10255
99.4100,10295
99.4200,10295
99.4300,10295
99.4400,10295
99.4500,10295
99.4600,10295
99.4700,10295
99.4800,10335
99.4900,10335
99.5000,10335
99.5100,10335
99.5200,10335
99.5300,10375
99.5400,10375
99.5500,10375
99.5600,10375
99.5700,10423
99.5800,10423
99.5900,10423
99.6000,10463
99.6100,10463
99.6200,10503
99.6300,10503
99.6400,10543
99.6500,10591
99.6600,10671
99.6700,10711
99.6800,10839
99.6900,10879
99.7000,11047
99.7100,11167
99.7200,11335
99.7300,11423
99.7400,11543
99.7500,11791
99.7600,11919
99.7700,12295
99.7800,12423
99.7900,12711
99.8000,12839
99.8100,13375
99.8200,13799
99.8300,13919
99.8400,14087
99.8500,14255
99.8600,14503
99.8700,14583
99.8800,14751
99.8900,14839
99.9000,15255
99.9000,15255
99.9010,15255
99.9020,15255
99.9030,15295
99.9040,15295
99.9050,15423
99.9060,15423
99.9070,15423
99.9080,15423
99.9090,15543
99.9100,15543
99.9110,15839
99.9120,15839
99.9130,15879
99.9140,15879
99.9150,15919
99.9160,15919
99.9170,16127
99.9180,16127
99.9190,16167
99.9200,16167
99.9210,16167
99.9220,16167
99.9230,16215
99.9240,16215
99.9250,16255
99.9260,16255
99.9270,16255
99.9280,16255
99.9290,16255
99.9300,16255
99.9310,16255
99.9320,16255
99.9330,16431
99.9340,16431
99.9350,16463
99.9360,16463
99.9370,16671
99.9380,16671
99.9390,17167
99.9400,17167
99.9410,17759
99.9420,17759
99.9430,17887
99.9440,17887
99.9450,18335
99.9460,18335
99.9470,18879
99.9480,18879
99.9490,19007
99.9500,19007
99.9510,19167
99.9520,19167
99.9530,19295
99.9540,19295
99.9550,19423
99.9560,19423
99.9570,19471
99.9580,19471
99.9590,19839
99.9600,19839
99.9610,19839
99.9620,19839
99.9630,19967
99.9640,19967
99.9650,20127
99.9660,20127
99.9670,20127
99.9680,20127
99.9690,20223
99.9700,20223
99.9710,21087
99.9720,21087
99.9730,21711
99.9740,23007
99.9750,23007
99.9760,23007
99.9770,23471
99.9780,23471
99.9790,23807
99.9800,23807
99.9810,25055
99.9820,25055
99.9830,26719
99.9840,26719
99.9850,27423
99.9860,28127
99.9870,28127
99.9880,28127
99.9890,28671
99.9900,28671
99.9990,280831
100.0000,280831
